id,question,A,B,C,Answerkey
51,Is Australia a country?,"Yes, it is.","No, it's not.","Yes, it's a city.",A
52,How do you go to the zoo?,I go by MRT.,I go the zoo.,I take the bus.,A
53,Do you play baseball on weekends?,"Yes, I do.","Yes, I play.","No, I'm not.",A
54,What time do you take a shower?,I take a shower at 7.,I take a shower.,It's at nine.,A
55,Were you at home last night?,"Yes, I was.","Yes, I did.","No, I'm home.",A
56,Did you listen to music yesterday?,"Yes, I did.","Yes, I do.",I listen to it.,A
57,How much is the hat?,It's ten dollars.,They're ten dollars.,I have ten dollars.,A
58,What is the weather like in fall?,It's cool and dry.,It's cold and wet.,It's snowy.,A
59,Are they from Japan?,"Yes, they are.","Yes, they do.","No, they is.",A
60,Does she go to school by train?,"Yes, she does.",She goes by train.,"No, she do.",A
61,Do you watch TV on Sundays?,"Yes, I do.","Yes, I watch.","No, I'm not.",A
62,What time do you have lunch?,I have lunch at noon.,I have lunch at home.,It's twelve.,A
63,Were they at the mall?,"Yes, they were.","Yes, they are.","No, they were not.",A
64,Did he play the guitar?,"Yes, he did.","Yes, he played.","No, he didn't play.",A
65,How much are the boots?,They're sixty dollars.,It's sixty dollars.,They costed sixty.,A
66,Do you like snowy weather?,"No, I don't.","No, I'm not.","Yes, I do like.",A
67,Is your friend from the USA?,"Yes, he is.","Yes, he from.","No, he's from UK.",A
68,How do they go to work?,They go by taxi.,They goes by taxi.,They by taxi.,A
69,Do you surf the Internet often?,"Yes, I do.",I surf.,"No, I'm not.",A
70,What time do you go to school?,I go to school at seven thirty.,I am at school.,On Monday.,A
71,Was she at the restaurant?,"Yes, she was.","Yes, she is.","No, she isn't.",A
72,Did you visit your friend?,"Yes, I did.","Yes, I visited.","No, I visit.",A
73,How much is the dress?,It's thirty dollars.,It's thirty dollar.,They're thirty.,A
74,Is it foggy today?,"Yes, it is.","Yes, it's very.","No, it doesn't.",A
75,Where is he from?,He's from Japan.,He's from Japanese.,He from Japan.,A
76,Do you go to school by scooter?,"Yes, I do.",I go by scooter.,"No, I don't go.",A
77,What do you do in your free time?,I ride a bike.,I riding a bike.,I like bike.,A
78,What time do you do homework?,I do it at four.,I do homework.,"Yes, I do it at four.",A
79,Were you at the park yesterday?,"Yes, I was.","Yes, I did.","No, I am not.",A
80,Did she listen to songs?,"Yes, she did.","Yes, she listened.","No, she doesn't.",A
81,How much are the jackets?,They're forty dollars.,It's forty dollars.,They're forty dollar.,A
82,What season is it now?,It's spring.,It's sunny.,It's the spring.,A
83,Are you from Taiwan?,"Yes, I am.","Yes, I do.","No, I'm not.",A
84,Does he go by metro?,"Yes, he does.","Yes, he goes.","No, he doesn't.",A
85,What do you do on weekends?,I play football.,I playing football.,I play the football.,A
86,What time do you get up?,I get up at six.,I get up.,"No, I don't get up.",A
87,Was it sunny yesterday?,"Yes, it was.","Yes, it is.","No, it didn't.",A
88,Did they walk the dog?,"Yes, they did.","Yes, they walked.","No, they don't.",A
89,How much is the sweater?,It's twenty dollars.,They're twenty.,"Yes, it's twenty dollars.",A
90,Is it wet today?,"Yes, it is.","Yes, it's rainy.","No, it isn't.",A
91,Is she from the USA?,"No, she's from Japan.","No, she's from Japanese.","Yes, she's from.",A
92,Do you go to school on foot?,"Yes, I do.","No, I'm not.",I walk to school.,A
93,Do you listen to music?,"Yes, I do.","Yes, I listen.","No, I'm not.",A
94,What time do you go to bed?,I go to bed at nine.,I go to bed.,At nine.,A
95,Were you at the zoo?,"Yes, I was.","Yes, I did.","No, I wasn't.",A
96,Did you watch the video?,"Yes, I did.","Yes, I watched.","No, I don't.",A
97,How much are the shorts?,They're ten dollars.,It's ten dollars.,They cost ten.,A
98,Is fall your favorite season?,"Yes, it is.","Yes, it does.","No, I don't.",A
99,Are they from Spain?,"Yes, they are.","Yes, they do.","No, they don't.",A
100,Do you study English?,"Yes, I do.","Yes, I study.","No, I'm not.",A
