id,question,A,B,C,Answerkey
1,What's wrong with him?,His ears hurt.,He is happy.,"Yes, he is.",A
2,Does she have a headache?,"No, she doesn't.",She likes apples.,It is a pen.,A
3,What would you like for lunch?,I'd like some salad.,I'm seven.,It's Monday.,A
4,Whose backpack is this?,It's my backpack.,He is in the park.,I have a fever.,A
5,Would you like some soup?,"Yes, please.","Yes, I do.",I like cats.,A
6,What's wrong with your leg?,My foot hurts.,It's a blue leg.,I'm a student.,A
7,Do you have a fever?,"Yes, I do.",I am fine.,It's a book.,A
8,Whose glasses are these?,They're Chuck's glasses.,It is a glass.,I see a bird.,A
9,How many dinosaurs are there?,There are five.,It's a dinosaur.,I like dinosaurs.,A
10,What would you like for dinner?,I'd like some noodles.,It's 6 o'clock.,Good morning.,A
11,Does he have a runny nose?,"Yes, he does.",He is running.,It is cold.,A
12,Is this your umbrella?,"No, it isn't.",It's sunny.,I'm Terry.,A
13,What's wrong with her?,She has a stomachache.,She is tall.,I am a girl.,A
14,Would you like some bread for lunch?,"No, thank you.",I like lunch.,It is bread.,A
15,Whose cap is that?,It's my cap.,The cap is red.,I have a cap.,A
16,Can you give me a hand?,"Sure, no problem.",I have two hands.,This is a hand.,A
17,What's the matter?,My arm hurts.,It doesn't matter.,I'm a teacher.,A
18,Do you have a sore throat?,"No, I don't.",It's a throat.,I like singing.,A
19,What's wrong with your eyes?,My eyes hurt.,I have two eyes.,They are blue.,A
20,Whose water bottle is this?,It's her water bottle.,I'm thirsty.,It is water.,A
21,What do we eat on Dragon Boat Festival?,We eat zongzi.,We open gifts.,We go to school.,A
22,Can you stand an egg today?,"Yes, I can.",I like eggs.,It's a festival.,A
23,Let's watch the dragon boat race.,Good idea!,It is a dragon.,I am fast.,A
24,Whose workbook is this?,It's his workbook.,I am reading.,The book is heavy.,A
25,Whose shoes are those?,They are my shoes.,I like shoes.,It is a shoe.,A
26,What day is today?,It's Friday.,I'm fine.,It's a day.,A
27,Is it Monday today?,"No, it's Tuesday.","Yes, I am.",I like Monday.,A
28,Do you have PE class on Monday?,"Yes, I do.",I like PE.,It's a class.,A
29,Does he have math class on Thursday?,"No, he doesn't.",He likes math.,It's Thursday.,A
30,Where are you going?,I'm going to the library.,I am a student.,It's over there.,A
31,Where's the park?,It's on Blue Street.,I like the park.,It's a big park.,A
32,How many lions are there?,There are nine lions.,I like lions.,It's a lion.,A
33,Does she like horses?,"Yes, she does.",She is a horse.,It's a horse.,A
34,What's your favorite subject?,I like English.,I'm English.,It's a book.,A
35,Are you going to the bank?,"No, I'm going to the hospital.","Yes, I am a bank.",The bank is closed.,A
36,How many koalas are there?,There is one koala.,I see a koala.,Koalas are cute.,A
37,Do you like zebras?,"No, I don't. I like tigers.","Yes, it is a zebra.",Zebras are black and white.,A
38,Is it Wednesday today?,"Yes, it is.",I like Wednesday.,"No, I'm not.",A
39,Does she have music class today?,"Yes, she does.",She likes music.,It's a piano.,A
40,Where is he going?,He's going to the bookstore.,He is a boy.,The book is good.,A
41,Is the museum near the park?,"Yes, it is.",I like the museum.,It's a park.,A
42,How many elephants are there?,There are ten elephants.,Elephants are big.,I see an elephant.,A
43,Does he like monkeys?,"No, he doesn't.",He is a monkey.,Monkeys like bananas.,A
44,"Follow me, please.",Sure!,I am a follower.,You are leading.,A
45,What's in the Christmas stocking?,A candy cane.,It's a stocking.,I like Christmas.,A
46,Merry Christmas!,Merry Christmas!,You're welcome.,I'm sorry.,A
47,Can we open the gifts?,"Yes, let's open them.",It's a gift.,I have a gift.,A
48,Where is Santa Claus?,He is on the roof.,He is red.,I like Santa.,A
49,What do you see on the tree?,A star and a bell.,It's a tree.,I like stars.,A
50,Is it Saturday today?,"No, it's Sunday.",I like Saturday.,"Yes, I am.",A
